Country,1970,1980,1990,2000,2010,2015
Afghanistan,14.78,14.89,14.99,15.50,15.83,16.53
Africa,24.32,24.45,24.70,24.59,25.47,25.21
Albania,12.84,12.16,13.47,13.75,13.78,14.99
Algeria,23.32,23.16,24.01,24.03,25.22,25.12
American Samoa,26.76,26.99,27.16,27.22,27.45,27.52
Andorra,11.38,10.77,12.46,12.31,11.48,12.31
Angola,22.15,22.08,22.47,22.36,22.68,22.51
Anguilla,26.92,27.25,27.10,27.05,27.86,27.36
Antigua And Barbuda,26.74,27.12,26.93,26.89,27.74,27.25
Argentina,15.20,15.23,15.16,14.75,15.08,14.46
Armenia,9.85,9.36,9.26,9.92,11.51,11.34
Aruba,28.37,28.63,28.24,28.13,28.97,28.54
Asia,7.53,7.71,8.43,8.25,8.58,10.05
Australia,21.78,22.59,22.36,21.71,22.08,22.14
Austria,5.93,5.63,7.34,8.08,6.65,8.06
Azerbaijan,12.26,11.80,11.99,12.63,13.96,14.17
Bahamas,25.04,25.51,25.99,25.45,25.23,26.01
Bahrain,26.33,26.56,26.34,27.07,28.07,27.93
Baker Island,25.73,25.77,25.91,25.91,26.21,26.43
Bangladesh,25.19,25.34,25.28,25.15,25.94,25.97
Barbados,26.77,27.15,26.94,26.90,27.84,27.25
Belarus,5.76,5.00,7.76,7.91,7.04,8.27
Belgium,9.50,9.30,10.94,11.03,9.36,10.06
Belize,25.14,25.67,25.55,25.29,25.50,26.21
Benin,27.52,27.56,27.79,27.64,28.33,28.16
Bhutan,12.11,12.23,12.21,12.00,12.95,13.33
Bolivia,21.52,21.03,21.33,21.08,21.45,20.64
"Bonaire, Saint Eustatius And Saba",27.59,27.85,27.65,27.41,28.37,27.92
Bosnia And Herzegovina,10.41,9.79,11.56,12.15,11.27,12.88
Botswana,22.86,21.85,22.94,21.87,22.73,21.83
Brazil,25.19,25.15,25.27,25.20,25.81,25.35
British Virgin Islands,26.61,26.99,26.82,26.73,27.59,27.31
Bulgaria,10.93,10.04,11.60,11.91,11.77,13.41
Burkina Faso,28.50,28.77,28.81,28.59,29.29,29.39
Burma,23.99,24.32,24.06,23.93,24.86,25.25
Burundi,20.05,20.58,20.41,20.60,21.07,20.86
C??te D'Ivoire,26.32,26.33,26.50,26.40,27.15,27.06
Cambodia,27.01,27.21,27.26,27.06,27.88,28.26
Cameroon,24.61,24.77,24.89,24.61,25.46,25.31
Canada,-5.10,-4.42,-5.02,-4.03,-1.89,-1.64
Cape Verde,24.74,24.73,24.75,24.72,25.83,24.53
Cayman Islands,26.74,27.15,27.36,27.10,27.03,27.56
Central African Republic,25.43,25.79,25.72,25.61,26.33,26.21
Chad,27.02,27.48,27.62,27.45,28.70,28.36
Chile,9.65,9.90,9.83,9.56,9.71,9.88
China,6.57,6.95,7.64,7.24,7.55,9.30
Christmas Island,26.00,26.13,26.45,26.38,26.84,27.01
Colombia,24.93,25.43,25.22,25.03,25.69,25.58
Comoros,25.91,25.93,26.15,26.00,26.79,26.54
Congo,24.74,24.76,24.77,24.79,25.56,25.14
Congo (Democratic Republic Of The),23.96,24.20,24.21,24.21,24.76,24.56
Costa Rica,25.55,25.89,26.29,26.07,26.23,26.46
Croatia,11.31,10.69,12.43,13.23,11.96,13.59
Cuba,25.41,25.85,26.13,25.79,25.63,26.25
Cura??ao,27.80,28.03,27.69,27.56,28.47,28.12
Cyprus,19.30,18.85,19.19,19.44,20.95,20.35
Czech Republic,7.32,6.91,8.96,9.66,7.75,9.28
Denmark,-18.21,-17.01,-17.87,-16.82,-15.09,-14.93
Denmark (Europe),7.24,7.59,9.71,9.58,7.30,8.52
Djibouti,28.99,29.51,29.30,29.86,29.84,30.74
Dominica,26.42,26.75,26.63,26.57,27.49,26.92
Dominican Republic,25.68,26.37,26.17,25.88,26.46,26.29
Ecuador,21.96,22.34,22.43,22.03,22.64,22.26
Egypt,22.71,23.07,23.09,22.88,25.15,24.51
El Salvador,25.06,25.43,25.57,25.41,25.46,25.91
Equatorial Guinea,25.20,25.37,25.29,25.22,25.90,25.59
Eritrea,26.86,27.34,27.45,27.52,28.05,28.50
Estonia,4.35,4.50,6.70,7.01,5.04,6.96
Ethiopia,23.14,23.64,23.38,23.76,23.93,24.63
Europe,7.79,7.40,9.32,9.44,8.28,9.67
Falkland Islands (Islas Malvinas),6.44,6.26,6.80,6.40,6.87,7.35
Faroe Islands,6.41,6.84,7.40,7.19,6.83,7.08
Federated States Of Micronesia,26.94,27.32,27.27,27.44,27.73,28.00
Fiji,25.28,25.28,25.40,25.84,25.92,25.94
Finland,1.17,0.88,2.94,3.59,1.14,4.06
France,12.90,12.56,14.04,13.97,13.12,13.58
France (Europe),10.47,10.01,11.81,11.74,10.53,11.20
French Guiana,26.04,26.29,26.23,26.11,27.02,26.53
French Polynesia,26.49,26.41,26.85,26.64,26.94,26.91
French Southern And Antarctic Lands,4.77,5.18,5.01,5.22,5.64,5.69
Gabon,24.50,24.62,24.57,24.57,25.22,24.84
Gambia,28.14,28.09,28.14,28.06,28.80,28.72
Gaza Strip,19.67,19.57,19.71,19.88,21.90,20.78
Georgia,9.18,8.78,8.84,9.31,11.10,10.69
Germany,7.86,7.73,9.69,10.02,8.01,9.24
Ghana,27.14,27.08,27.24,27.25,27.94,27.72
Greece,15.16,14.56,15.50,15.67,16.37,17.15
Greenland,-18.74,-17.52,-18.44,-17.37,-15.55,-15.41
Grenada,27.09,27.41,27.21,27.19,28.11,27.61
Guadeloupe,26.63,27.01,26.83,26.79,27.66,27.16
Guam,26.99,27.30,27.27,27.48,27.25,27.66
Guatemala,23.31,23.68,23.60,23.43,23.69,24.29
Guernsey,11.05,10.83,12.34,11.92,10.96,10.80
Guinea,25.82,26.08,26.01,25.97,26.60,26.69
Guinea Bissau,27.23,27.31,27.36,27.29,27.92,27.91
Guyana,26.26,26.46,26.57,26.39,27.12,26.69
Haiti,26.45,27.03,26.94,26.60,27.00,27.03
Heard Island And Mcdonald Islands,2.47,2.78,2.76,2.89,3.11,3.19
Honduras,24.79,25.17,25.21,25.15,25.25,25.73
Hong Kong,22.71,23.14,23.26,23.20,23.14,23.69
Hungary,9.65,8.90,10.92,11.70,10.35,12.30
Iceland,1.08,1.83,1.77,2.10,2.68,2.92
India,24.07,24.59,24.18,24.50,25.05,25.41
Indonesia,26.06,26.03,26.24,26.19,26.54,26.47
Iran,18.45,18.33,18.43,18.89,20.09,20.54
Iraq,22.60,22.38,22.54,22.99,24.65,24.24
Ireland,9.60,9.55,10.31,10.13,9.26,9.97
Isle Of Man,9.63,9.53,10.52,10.26,9.10,9.23
Israel,20.07,20.04,20.13,20.23,22.31,21.22
Italy,12.84,12.24,13.72,14.13,13.32,14.17
Jamaica,26.15,26.66,26.74,26.47,26.52,27.13
Japan,11.93,11.80,13.59,12.83,13.22,12.96
Jersey,11.05,10.83,12.34,11.92,10.96,10.80
Jordan,19.84,19.85,19.92,20.05,22.23,21.32
Kazakhstan,5.55,5.71,6.56,6.76,6.71,8.94
Kenya,24.23,24.72,24.13,24.72,24.96,24.94
Kingman Reef,27.13,27.69,27.54,27.45,27.85,27.84
Kiribati,26.75,27.26,27.08,27.08,27.53,27.55
Kuwait,25.66,25.67,25.76,26.38,27.64,27.27
Kyrgyzstan,3.77,4.51,4.49,4.73,4.60,6.26
Laos,23.99,24.28,24.06,23.84,24.93,25.39
Latvia,4.84,4.76,7.33,7.50,5.71,7.32
Lebanon,18.26,17.88,18.18,18.38,20.27,19.18
Lesotho,14.29,14.11,14.15,14.05,14.91,13.77
Liberia,25.78,25.80,25.88,25.86,26.53,26.31
Libya,22.25,22.37,23.10,22.84,24.52,24.31
Liechtenstein,4.41,4.19,5.92,6.33,4.85,6.00
Lithuania,5.40,5.13,7.98,8.11,6.33,7.80
Luxembourg,9.11,8.88,10.59,10.79,9.13,9.90
Macau,22.46,22.94,23.05,22.94,22.90,23.47
Macedonia,10.69,9.99,11.30,11.58,11.74,13.26
Madagascar,23.13,23.02,23.12,23.32,23.85,22.96
Malawi,21.63,21.63,22.28,21.71,22.60,21.27
Malaysia,26.19,26.21,26.42,26.37,26.81,26.97
Mali,28.89,29.14,29.32,29.15,30.13,29.94
Malta,18.59,17.97,19.56,19.61,19.66,19.44
Martinique,26.42,26.75,26.63,26.57,27.49,26.92
Mauritania,28.37,28.23,28.54,28.36,29.37,29.11
Mauritius,23.75,23.86,23.84,24.00,24.67,24.31
Mayotte,26.65,26.60,26.78,26.61,27.45,27.13
Mexico,20.49,21.04,20.96,21.23,20.85,22.22
Moldova,9.54,8.13,10.88,10.69,10.23,11.96
Monaco,9.03,8.69,10.14,10.23,9.22,10.42
Mongolia,-1.11,-0.48,0.66,0.18,-0.32,2.81
Montenegro,10.28,9.61,11.24,11.56,11.24,12.87
Montserrat,26.68,27.08,26.88,26.84,27.70,27.21
Morocco,17.96,18.06,18.70,18.57,19.44,19.31
Mozambique,23.96,23.75,24.20,23.92,24.61,23.49
Namibia,21.01,20.66,21.34,21.02,21.39,21.27
Nepal,15.09,15.30,15.27,15.28,16.11,15.95
Netherlands,9.43,9.46,11.00,11.10,9.26,9.86
Netherlands (Europe),9.03,9.05,10.63,10.74,8.84,9.45
New Caledonia,23.19,22.92,23.41,23.28,23.87,23.38
New Zealand,11.15,10.60,11.27,11.12,11.34,11.09
Nicaragua,25.99,26.31,26.55,26.38,26.62,26.87
Niger,27.44,27.81,28.05,27.98,29.30,29.23
Nigeria,26.95,27.06,27.37,27.03,28.00,28.01
Niue,25.47,25.37,25.66,25.81,26.01,26.05
North America,2.11,2.74,2.56,3.13,4.07,5.07
North Korea,6.61,6.39,8.18,7.53,7.36,8.49
Northern Mariana Islands,26.99,27.30,27.27,27.48,27.25,27.66
Norway,-0.24,-0.15,2.07,1.80,-0.22,1.74
Oceania,21.64,22.36,22.18,21.59,21.96,21.99
Oman,27.23,27.41,27.44,27.92,28.46,28.19
Pakistan,21.19,21.41,21.38,21.82,22.09,22.32
Palau,27.63,27.45,27.68,27.69,27.77,27.82
Palestina,23.47,23.40,23.66,23.86,24.79,24.09
Palmyra Atoll,27.16,27.72,27.57,27.49,27.88,27.88
Panama,26.42,26.66,26.93,26.71,27.03,27.22
Papua New Guinea,24.77,24.75,24.94,24.94,25.34,25.07
Paraguay,23.75,23.60,23.60,23.63,23.62,22.82
Peru,20.14,20.33,20.23,20.23,20.58,19.98
Philippines,27.00,26.77,26.93,27.01,27.36,27.42
Poland,6.82,6.69,9.23,9.62,7.62,9.26
Portugal,14.76,14.84,15.74,15.39,15.68,15.89
Puerto Rico,25.70,26.20,25.94,25.79,26.64,26.28
Qatar,27.29,27.44,27.32,27.99,28.89,28.57
Reunion,23.51,23.68,23.54,23.88,24.37,24.27
Romania,9.11,8.08,10.23,10.47,9.85,11.65
Russia,-5.52,-5.42,-4.02,-4.55,-4.52,-2.26
Rwanda,19.22,19.77,19.55,19.75,20.27,20.10
Saint Barth??lemy,26.92,27.25,27.10,27.05,27.86,27.36
Saint Kitts And Nevis,26.16,26.55,26.35,26.27,27.16,26.67
